노선ID,노선명,정류장순서,station_name,latitude,longitude,mean,cv_score,risk_score
217000006,61,0,경원여객종점,37.31102192048933,126.7527859735608,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,0,경원여객종점,37.31102192048933,126.7527859735608,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,0,경원여객종점,37.31102192048933,126.7527859735608,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,0,경원여객종점,37.311108412814,126.75282757063832,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,0,경원여객종점,37.31102192048933,126.7527859735608,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,0,경원여객종점,37.31104059483509,126.75278402856044,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,1,세경,37.31268377543108,126.75037771843532,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,1,세경,37.31268377543108,126.75037771843532,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,1,세경,37.312655127732064,126.75054338047642,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,1,세경,37.31268377543108,126.75037771843532,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,1,세경,37.31267067256628,126.75029569384888,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,1,세경,37.31272348774888,126.75045642878342,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,1,세경,37.31272348774888,126.75045642878342,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,1,세경,37.312680866835976,126.75033583110964,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,2,도금단지,37.31539693876964,126.75025148554776,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,2,도금단지,37.31539693876964,126.75025148554776,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,2,도금단지,37.31539693876964,126.75025148554776,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,2,도금단지,37.31537489777359,126.75026982501348,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,2,도금단지,37.315396938859735,126.75025148554748,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,5,금성제어기(주),37.31499739442002,126.7580751011604,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,5,금성제어기(주),37.31499739442002,126.7580751011604,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,5,금성제어기(주),37.315029730799765,126.75803858869484,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,5,금성제어기(주),37.3150867804687,126.75811611621444,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,5,금성제어기(주),37.31508699083199,126.7580828236644,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,5,금성제어기(주),37.31508699083199,126.7580828236644,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,6,삼화왕관,37.31347630190994,126.7633481722858,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,6,삼화왕관,37.31345887712779,126.76333615066804,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,6,삼화왕관,37.313579140373086,126.76340180219589,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,9,현진제업.한국엘랑코,37.31385240143678,126.7760381106436,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,9,현진제업.한국엘랑코,37.31386030130994,126.7760640955432,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,9,현진제업.한국엘랑코,37.31385240143678,126.7760381106436,512.0392749244713,0.9049874042961609,0.498563463144183
217000006,61,9,현진제업.한국엘랑코,37.31385240143678,126.7760381106436,512.0392749244713,0.9049874042961609,0.498563463144183
